year,q_no,correct_number,correct_label,correct_text,explanation,difficulty,tags
2024,1,1,A,"営業を許された未成年者が、その営業に関する意思表示をした時に意思能力を有しなかっ
た場合は、その法律行為は無効である。","判断基準：条文の原則／判例通説。 / 正解肢の要点：営業を許された未成年者が、その営業に関する意思表示をした時に意思能力を有しなかっ
た場合は、その法律行為は無効である / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",3,R6;民法
2024,2,4,D,"委任は、当事者の一方が仕事を完成することを相手方に約し、相手方がその仕事の結果に
対しその報酬を支払うことを約さなければ、その効力を生じない。","判断基準：条文の原則／判例通説。 / 正解肢の要点：委任は、当事者の一方が仕事を完成することを相手方に約し、相手方がその仕事の結果に
対しその報酬を支払うことを約さなければ、その効力を生じない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;民法
2024,3,3,C,"Ａ、Ｂ、Ｃ３人の同意があれば、甲土地を資材置場として賃借したいＦとの間で期間を３
年とする賃貸借契約を締結することができる。","判断基準：条文の原則／判例通説。 / 正解肢の要点：Ａ、Ｂ、Ｃ３人の同意があれば、甲土地を資材置場として賃借したいＦとの間で期間を３
年とする賃貸借契約を締結することができる / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;民法
2024,4,4,D,"本件契約が、Ａの詐欺により締結されたものである場合、ＢはＣに対して、本件契約の取
消しを主張することができる。","判断基準：条文の原則／判例通説。 / 正解肢の要点：本件契約が、Ａの詐欺により締結されたものである場合、ＢはＣに対して、本件契約の取
消しを主張することができる / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",2,R6;民法
2024,5,2,B,"善意の受益者は、その不当利得返還債務について、履行の請求を受けた時から遅滞の責任
を負う。","判断基準：条文の原則／判例通説。 / 正解肢の要点：善意の受益者は、その不当利得返還債務について、履行の請求を受けた時から遅滞の責任
を負う / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",5,R6;民法
2024,6,4,D,なし,判断基準：条文の原則／判例通説。 / 正解は「四つ」。各小問の真偽で数を合わせる。 / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。,5,R6;民法
2024,7,1,A,"ＣがＢに対し甲建物をＡから買受けたとの虚偽の話をしたので、これを信じたＢが甲建物
の占有を任意にＣに移転した場合、ＡはＣに対して、占有回収の訴えにより甲建物の返還を
請求することはできない。","判断基準：条文の原則／判例通説。 / 正解肢の要点：ＣがＢに対し甲建物をＡから買受けたとの虚偽の話をしたので、これを信じたＢが甲建物
の占有を任意にＣに移転した場合、ＡはＣに対して、占有回収の訴えにより甲建物の返還を
請求することはできない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",5,R6;民法
2024,8,1,A,隔地者間の契約は、承諾の通知を発した時に成立する。,判断基準：条文の原則／判例通説。 / 正解肢の要点：隔地者間の契約は、承諾の通知を発した時に成立する / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。,4,R6;民法
2024,9,2,B,"第三者が債務者との間で、債務者の債務につき併存的債務引受契約をした場合、債権者が
第三者に承諾をした時点で、その効力が生ずる。","判断基準：条文の原則／判例通説。 / 正解肢の要点：第三者が債務者との間で、債務者の債務につき併存的債務引受契約をした場合、債権者が
第三者に承諾をした時点で、その効力が生ずる / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;民法
2024,10,4,D,損害賠償請求権,判断基準：条文の原則／判例通説。 / 正解肢の要点：損害賠償請求権 / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。,3,R6;民法
