year,q_no,category,topic,question,choice1,choice2,choice3,choice4,explanation,difficulty,tags
2024,1,民法,総則・債権・物権の基礎,法律行為に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,"営業を許された未成年者が、その営業に関する意思表示をした時に意思能力を有しなかっ
た場合は、その法律行為は無効である。","公の秩序に反する法律行為であっても、当事者が納得して合意した場合には、その法律行
為は有効である。","詐欺による意思表示は取り消すことによって初めから無効であったとみなされるのに対し、
強迫による意思表示は取り消すまでもなく無効である。","他人が所有している土地を目的物にした売買契約は無効であるが、当該他人がその売買契
約を追認した場合にはその売買契約は有効となる。","判断基準：条文の原則／判例通説。 / 正解肢の要点：営業を許された未成年者が、その営業に関する意思表示をした時に意思能力を有しなかっ
た場合は、その法律行為は無効である / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",3,R6;民法
2024,2,民法,総則・債権・物権の基礎,"委任契約・準委任契約に関する次の記述のうち、民法の規定及び判例によれば、
誤っているものはどれか。","売主が、売買契約の付随義務として、買主に対して、マンション専有部分内の防火戸の操
作方法につき説明義務を負う場合、業務において密接な関係にある売主から委託を受け、売
主と一体となって当該マンションの販売に関する一切の事務を行っていた宅地建物取引業者
も、買主に対して、防火戸の操作方法について説明する信義則上の義務を負うことがある。","受任者は、委任者の許諾を得たとき、又はやむを得ない事由があるときでなければ、復受
任者を選任することができない。","委任契約で本人が死亡しても代理権が消滅しない旨を合意して代理人に代理権を与えた場
合、本人が死亡しても代理権は消滅しない。","委任は、当事者の一方が仕事を完成することを相手方に約し、相手方がその仕事の結果に
対しその報酬を支払うことを約さなければ、その効力を生じない。","判断基準：条文の原則／判例通説。 / 正解肢の要点：委任は、当事者の一方が仕事を完成することを相手方に約し、相手方がその仕事の結果に
対しその報酬を支払うことを約さなければ、その効力を生じない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;民法
2024,3,民法,総則・債権・物権の基礎,"甲土地につき、Ａ、Ｂ、Ｃ、Ｄの４人がそれぞれ４分の１の共有持分を有してい
て、Ａ、Ｂ、ＣのいずれもＤの所在を知ることができない場合に関する次の記述のうち、民法
の規定及び判例によれば、正しいものはどれか。なお、Ｄの共有持分は、相続財産には属して
いないものとする。","甲土地に、その形状又は効用の著しい変更を伴う変更を加える場合には、共有者の過半数
の同意が必要であり、本件ではＡ、Ｂ、Ｃ３人の同意が必要となる。","甲土地の所有権の登記名義人となっている者が所有者ではないＥである場合、持分に基づ
いてＥに対して登記の抹消を求めるためには、所在が判明しているＡ、Ｂ、Ｃのうち２人の
同意が必要である。","Ａ、Ｂ、Ｃ３人の同意があれば、甲土地を資材置場として賃借したいＦとの間で期間を３
年とする賃貸借契約を締結することができる。","Ａが裁判所に請求して、裁判所がＤの持分をＡに取得させる旨の決定をした場合、Ｄは、
その決定から３年以内に限り、Ａが取得したＤの共有持分の時価相当額をＡに対して支払う
よう請求することができる。","判断基準：条文の原則／判例通説。 / 正解肢の要点：Ａ、Ｂ、Ｃ３人の同意があれば、甲土地を資材置場として賃借したいＦとの間で期間を３
年とする賃貸借契約を締結することができる / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;民法
2024,4,民法,総則・債権・物権の基礎,"Ａを売主、Ｂを買主として甲土地の売買契約（以下この問において「本件契約」
という。）が締結された直後にＡが死亡し、ＣがＡを単独相続した場合における次の記述のう
ち、民法の規定によれば、正しいものはどれか。","売買代金を受領したＣが甲土地の引渡しを拒絶する意思を明確に表示したとしても、Ｂは、
Ｃに対して相当の期間を定めた催告をしなければ、本件契約を解除することができない。","Ｂが期日までに売買代金を支払わない場合であっても、本件契約の解除権はＡの一身に専
属した権利であるため、Ｃは本件契約を解除することはできない。","Ｂは、売買代金が支払い済みだったとしても、甲土地の所有権登記を備えなければ、Ｃに
対して甲土地の引渡しを請求することはできない。","本件契約が、Ａの詐欺により締結されたものである場合、ＢはＣに対して、本件契約の取
消しを主張することができる。","判断基準：条文の原則／判例通説。 / 正解肢の要点：本件契約が、Ａの詐欺により締結されたものである場合、ＢはＣに対して、本件契約の取
消しを主張することができる / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",2,R6;民法
2024,5,民法,総則・債権・物権の基礎,"履行遅滞に関する次の記述のうち、民法の規定及び判例によれば、正しいものは
どれか。","不法行為の加害者は、不法行為に基づく損害賠償債務について、履行の請求を受けた時か
ら遅滞の責任を負う。","善意の受益者は、その不当利得返還債務について、履行の請求を受けた時から遅滞の責任
を負う。","請負人の報酬債権に対して、注文者がこれと同時履行の関係にある目的物の瑕疵修補に代
わる損害賠償債権を自働債権とする相殺の意思表示をした場合、注文者は、請負人に対する
相殺後の報酬残債務について、当該残債務の履行の請求を受けた時から遅滞の責任を負う。","債務の履行について不確定期限があるときは、債務者は、その期限の到来したことを知っ
た後に履行の請求を受けた時から遅滞の責任を負う。","判断基準：条文の原則／判例通説。 / 正解肢の要点：善意の受益者は、その不当利得返還債務について、履行の請求を受けた時から遅滞の責任
を負う / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",5,R6;民法
2024,6,民法,総則・債権・物権の基礎,"Ａの所有する甲土地にＢを地上権者とする地上権（以下この問において「本件地
上権」という。）が設定され、その旨の登記がされた後に、甲土地にＣを抵当権者とする抵当
権が設定され、その旨の登記がされた場合における次の記述のうち、民法の規定によれば、正
しいものはいくつあるか。
ア　ＢがＡとの売買契約に基づき、甲土地の所有権を取得したときは、本件地上権は消滅する。
イ　Ａが死亡してＢがＡを単独相続し、甲土地の所有権を取得したときは、本件地上権は消滅
する。
ウ　ＢがＡとの代物弁済契約に基づき、甲土地の所有権を取得したときは、本件地上権は消滅
する。
エ　ＢがＡとの贈与契約に基づき、甲土地の所有権を取得したときは、本件地上権は消滅する。
ア　ＢがＡとの売買契約に基づき、甲土地の所有権を取得したときは、本件地上権は消滅する。
イ　Ａが死亡してＢがＡを単独相続し、甲土地の所有権を取得したときは、本件地上権は消滅
ウ　ＢがＡとの代物弁済契約に基づき、甲土地の所有権を取得したときは、本件地上権は消滅
エ　ＢがＡとの贈与契約に基づき、甲土地の所有権を取得したときは、本件地上権は消滅する。",一つ,二つ,三つ,なし,判断基準：条文の原則／判例通説。 / 正解は「四つ」。各小問の真偽で数を合わせる。 / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。,5,R6;民法
2024,7,民法,総則・債権・物権の基礎,"Ａを貸主、Ｂを借主として甲建物の賃貸借契約（以下この問において「本件契約
」という。）が締結され、Ｂが甲建物の引渡しを受けた場合における次の記述のうち、民法の
規定及び判例によれば、正しいものはどれか。","ＣがＢに対し甲建物をＡから買受けたとの虚偽の話をしたので、これを信じたＢが甲建物
の占有を任意にＣに移転した場合、ＡはＣに対して、占有回収の訴えにより甲建物の返還を
請求することはできない。","Ｂが、Ａの甲建物への立ち入りを建物入り口を閉ざして拒んだときは、Ａは甲建物の間接
占有が侵奪されたものとして、Ｂに対して、占有回収の訴えにより甲建物の返還を請求する
ことができる。","Ｂが死亡して、ＤがＢを単独相続した場合、Ｄは相続開始を知るまでは、Ｂによる甲建物
の占有を承継しない。",ＡとＢのいずれもが死亡した場合、本件契約は当然に終了する。,"判断基準：条文の原則／判例通説。 / 正解肢の要点：ＣがＢに対し甲建物をＡから買受けたとの虚偽の話をしたので、これを信じたＢが甲建物
の占有を任意にＣに移転した場合、ＡはＣに対して、占有回収の訴えにより甲建物の返還を
請求することはできない / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",5,R6;民法
2024,8,民法,総則・債権・物権の基礎,次の記述のうち、民法の条文として規定されていないものはどれか。,隔地者間の契約は、承諾の通知を発した時に成立する。,"無効な行為に基づく債務の履行として給付を受けた者は、相手方を原状に復させる義務を
負う。","代理人が自己又は第三者の利益を図る目的で代理権の範囲内の行為をした場合において、
相手方がその目的を知り、又は知ることができたときは、その行為は、代理権を有しない者
がした行為とみなす。","未成年者が法律行為をするには、その法定代理人の同意を得なければならない。ただし、
単に権利を得、又は義務を免れる法律行為については、この限りでない。",判断基準：条文の原則／判例通説。 / 正解肢の要点：隔地者間の契約は、承諾の通知を発した時に成立する / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。,4,R6;民法
2024,9,民法,総則・債権・物権の基礎,承諾に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,"第三者が債務者との間で、債務者の債務につき免責的債務引受契約をする場合、債権者の
承諾は不要である。","第三者が債務者との間で、債務者の債務につき併存的債務引受契約をした場合、債権者が
第三者に承諾をした時点で、その効力が生ずる。","第三者が債権者との間で、債務者の債務につき併存的債務引受契約をした場合、債務者が
第三者に承諾をした時点で、その効力が生ずる。",賃借人が賃貸借契約の目的物を第三者に転貸する場合、賃貸人の承諾は不要である。,"判断基準：条文の原則／判例通説。 / 正解肢の要点：第三者が債務者との間で、債務者の債務につき併存的債務引受契約をした場合、債権者が
第三者に承諾をした時点で、その効力が生ずる / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。",4,R6;民法
2024,10,民法,総則・債権・物権の基礎,"売買契約の目的物が品質に関して契約の内容に適合しない場合において、当該
契約不適合が売主及び買主のいずれの責めにも帰することができない事由によるものであると
き、履行の追完請求権、代金の減額請求権、損害賠償請求権及び契約の解除権のうち、民法の
規定によれば、買主が行使することができない権利のみを掲げたものとして正しいものは次の
記述のうちどれか。なお、上記帰責性以外の点について、権利の行使を妨げる事情はないもの
とする。",履行の追完請求権、損害賠償請求権、契約の解除権,代金の減額請求権、損害賠償請求権、契約の解除権,履行の追完請求権、代金の減額請求権,損害賠償請求権,判断基準：条文の原則／判例通説。 / 正解肢の要点：損害賠償請求権 / 他肢は定義の取り違え／例外の見落とし／手続主体の誤りなどに注意。,3,R6;民法
